Date,Visitor.Team,Visitor.Rushing.Yards,Visitor.Rushing.Attempts,Visitor.Passing.Yards,Visitor.Passing.Attempts,Visitor.Passing.Completions,Visitor.Penalties,Visitor.Penalty.Yards,Visitor.Fumbles.Lost,Visitor.Interceptions.Thrown,Visitor.1st.Downs,Visitor.3rd.Down.Attempts,Visitor.3rd.Down.Conversions,Visitor.4th.Down.Attempts,Visitor.4th.Down.conversions,Visitor.Time.of.Possession,Visitor.Score,Home.Team,Home.Rushing.Yards,Home.Rushing.Attempts,Home.Passing.Yards,Home.Passing.Attempts,Home.Passing.Completions,Home.Penalties,Home.Penalty.Yards,Home.Fumbles.Lost,Home.Interceptions.Thrown,Home.1st.Downs,Home.3rd.Down.Attempts,Home.3rd.Down.Conversions,Home.4th.Down.Attempts,Home.4th.Down.conversions,Home.Time.of.Possession,Home.Score
9/30/2006, Idaho,128,35,188,20,10,7,68,1,0,9,13,8,1,1,1729,41, Utah State,119,35,186,27,19,2,20,1,2,8,11,5,1,1,1871,21
9/30/2006, Illinois,252,44,138,17,10,4,34,0,1,13,13,5,0,0,1825,23, Michigan State,82,32,177,27,17,3,25,1,0,6,13,4,1,1,1775,20
9/30/2006, Kansas State,45,21,296,55,22,11,84,2,3,4,19,3,2,1,1660,3, Baylor,18,19,294,47,26,5,66,3,1,1,17,5,0,0,1940,17
9/30/2006, Kansas,169,40,405,54,27,5,25,1,3,8,18,6,2,1,2009,32, Nebraska,116,32,395,33,15,5,35,3,0,5,12,3,0,0,1591,39
9/30/2006, Liberty,85,32,216,29,17,9,91,0,1,4,15,7,1,1,1874,14, Wake Forest,196,36,242,23,15,5,44,1,0,9,10,4,0,0,1726,34
9/30/2006, Louisiana Tech,33,29,226,46,23,7,55,1,4,3,18,6,2,0,2114,0, Clemson,393,41,133,17,10,7,70,3,0,16,8,3,2,1,1486,51
9/30/2006, Maine,66,38,82,23,16,5,42,3,1,7,16,6,2,2,1978,0, Boston College,148,31,191,29,18,2,19,2,0,8,13,4,3,1,1622,22
9/30/2006, Miami (Ohio),36,25,190,48,21,4,32,1,2,3,17,5,4,0,1973,10, Cincinnati,253,42,43,11,5,6,41,2,1,10,13,6,0,0,1627,24
9/30/2006, Michigan,234,45,284,24,17,3,30,0,0,12,15,10,1,1,2259,28, Minnesota,108,24,215,34,17,4,29,0,0,6,12,3,2,1,1341,14
9/30/2006, Middle Tennessee,212,57,154,18,13,3,15,0,0,15,15,10,1,0,2441,35, North Texas,40,24,63,16,7,4,28,1,2,4,9,1,0,0,1159,0
9/30/2006, Mississippi State,14,21,212,29,15,9,79,0,1,2,11,2,1,0,1649,17, LSU,108,38,338,23,19,3,37,1,1,7,9,7,0,0,1951,48
9/30/2006, Nevada,180,37,131,15,9,2,20,0,0,8,11,2,1,1,1651,31, UNLV,74,31,153,32,18,8,73,2,2,5,13,2,2,2,1949,3
9/30/2006, New Mexico State,67,23,506,73,48,6,50,1,1,4,17,8,4,2,1985,38, UTEP,123,27,414,26,18,9,82,1,2,5,7,2,0,0,1615,44
9/30/2006, New Mexico,41,31,232,30,16,4,24,2,1,5,12,3,4,3,1597,7, Air Force,262,62,19,6,3,4,35,0,1,15,16,9,0,0,2003,24
9/30/2006, Northern Illinois,358,41,252,27,20,9,70,1,0,12,12,7,2,1,1933,40, Ball State,78,26,307,40,29,5,50,1,0,5,12,6,2,1,1667,28
9/30/2006, Northern Iowa,176,37,158,30,23,6,58,0,0,8,17,9,0,0,2065,27, Iowa State,81,28,323,29,24,3,30,2,1,6,9,6,1,0,1535,28
9/30/2006, Northwestern,81,28,157,30,14,3,20,0,1,3,13,1,3,1,1633,7, Penn State,233,48,295,35,20,6,52,1,1,15,17,9,0,0,1967,33
9/30/2006, Ohio State,214,50,186,25,16,3,18,0,0,10,14,6,1,1,2430,38, Iowa,87,20,249,41,19,0,0,1,3,5,12,4,2,2,1170,17
9/30/2006, Oregon,315,40,259,37,23,10,71,1,0,12,13,8,1,1,1892,48, Arizona State,142,34,33,19,6,6,44,1,1,8,13,1,3,1,1708,13
9/30/2006, Purdue,92,18,398,46,23,8,74,1,0,6,11,4,3,0,1319,21, Notre Dame,138,43,316,38,29,5,36,0,0,10,14,8,2,2,2281,35
9/30/2006, Rice,128,28,329,40,30,6,52,0,0,7,13,8,0,0,2052,48, Army,140,31,162,30,14,5,51,3,1,7,13,6,2,1,1548,14
9/30/2006, Sam Houston State,87,25,105,26,16,3,31,2,2,5,13,4,0,0,1783,3, Texas,119,42,300,24,20,2,20,0,0,7,13,8,4,1,1817,56
9/30/2006, San Diego State,163,39,76,16,10,11,103,1,2,8,12,3,3,2,1785,10, San Jose State,136,36,282,23,19,5,45,2,0,8,10,3,1,1,1815,31
9/30/2006, USC,135,32,269,32,23,7,90,1,1,6,14,8,2,2,1914,28, Washington State,131,28,287,47,26,8,60,0,1,10,13,6,0,0,1686,22
9/30/2006, SMU,98,38,261,40,23,8,70,0,1,7,16,8,0,0,2098,33, Tulane,-33,21,398,50,30,9,95,1,0,2,15,5,3,2,1502,28
9/30/2006, Stanford,49,34,117,25,12,3,26,2,3,4,13,4,0,0,1823,0, UCLA,166,34,223,38,21,5,55,1,2,6,17,8,1,0,1777,31
9/30/2006, Temple,122,40,148,17,11,4,41,1,2,4,13,5,1,0,2218,14, Vanderbilt,279,31,169,23,11,9,89,1,0,15,10,3,1,1,1382,43
9/30/2006, Tennessee,205,52,361,29,25,3,30,2,0,12,16,11,2,1,2242,41, Memphis,42,20,79,17,11,4,22,0,1,1,9,1,1,0,1358,7
9/30/2006, Texas Tech,41,11,392,45,32,6,50,1,0,2,7,1,1,1,1362,31, Texas A&M,250,47,103,20,9,4,55,0,1,16,16,10,1,1,2238,27
9/30/2006, Toledo,124,35,106,36,18,7,68,2,2,8,17,7,4,1,1759,3, Pittsburgh,185,43,189,17,14,2,10,1,0,7,11,5,2,1,1841,45
9/30/2006, Troy,58,32,144,32,18,7,86,1,1,6,16,5,2,2,1533,3, UAB,140,42,145,16,11,4,20,1,1,9,11,3,0,0,2067,21
9/30/2006, Navy,464,56,141,11,5,12,110,0,0,16,13,4,1,0,2105,41, Connecticut,167,28,176,37,15,7,56,3,0,6,14,4,2,0,1495,17
9/30/2006, Virginia,106,38,147,23,16,6,45,1,0,9,15,7,0,0,1835,37, Duke,-21,36,121,25,11,5,35,2,3,1,15,3,2,1,1765,0
9/30/2006, Washington,154,40,293,26,14,5,55,0,1,4,14,3,0,0,1868,21, Arizona,-7,24,308,41,24,8,78,0,1,2,14,1,2,1,1732,10
9/30/2006, Wisconsin,209,46,330,23,18,10,93,1,1,13,8,4,0,0,1913,52, Indiana,167,33,113,30,13,4,37,2,0,8,12,3,2,0,1687,17
9/30/2006, Wyoming,186,40,326,50,33,10,97,2,2,10,19,7,3,2,2105,34, Syracuse,154,32,121,25,11,7,60,2,1,10,11,3,0,0,1495,40
10/3/2006, Southern Mississippi,120,31,123,39,14,1,10,0,1,8,16,5,2,1,1649,6, Tulsa,252,38,201,25,16,12,109,2,0,11,9,4,1,0,1951,20
10/4/2006, UCF,275,43,213,26,16,4,40,0,0,12,14,7,2,1,1758,23, Marshall,230,35,136,22,14,5,44,0,1,11,12,7,0,0,1842,22
10/5/2006, Florida State,96,32,249,29,16,10,81,0,1,3,14,5,0,0,1799,20, North Carolina State,150,37,190,22,13,7,49,0,0,7,12,3,1,0,1801,24
10/5/2006, TCU,81,31,228,29,14,5,43,2,1,3,12,2,1,0,1514,7, Utah,131,36,223,32,19,8,89,0,1,6,16,5,0,0,2086,20
10/6/2006, Louisville,186,31,340,32,17,3,30,1,1,9,13,7,0,0,1524,44, Middle Tennessee,83,35,167,34,17,5,55,0,1,6,17,6,3,2,2076,17
10/7/2006, Akron,36,19,183,33,16,11,59,0,0,3,13,4,2,0,1418,14, Cincinnati,194,53,230,24,16,7,75,2,1,11,17,8,1,1,2182,20
10/7/2006, Arizona,-13,26,235,42,21,7,65,0,1,1,15,5,2,1,1983,7, UCLA,65,22,227,33,23,9,79,0,0,3,12,4,0,0,1617,27
10/7/2006, Arkansas,279,45,87,10,7,4,30,0,0,12,12,7,0,0,1910,27, Auburn,60,31,153,29,17,5,45,0,0,8,15,7,2,0,1690,10
10/7/2006, Ball State,232,42,262,15,12,5,46,0,1,10,7,1,2,2,1574,55, Buffalo,42,30,364,44,30,7,49,1,2,5,15,7,3,1,2026,25
10/7/2006, Baylor,110,26,272,44,31,8,87,1,2,5,16,9,1,1,1599,34, Colorado,276,49,75,25,9,4,28,0,3,15,17,8,1,1,2001,31
10/7/2006, Bowling Green,160,35,179,26,16,5,43,0,1,4,14,5,2,1,1767,7, Ohio State,139,32,248,29,21,5,36,0,0,5,12,7,3,1,1833,35
10/7/2006, Fresno State,164,34,155,27,13,6,49,0,0,5,16,4,2,1,1961,12, Utah State,147,36,120,19,9,6,75,0,0,7,14,5,1,0,1639,13
10/7/2006, Central Michigan,92,30,295,29,21,5,44,0,0,5,11,6,0,0,1526,42, Toledo,174,41,313,53,32,10,113,2,2,13,18,9,5,4,2074,20
10/7/2006, Clemson,214,39,214,30,20,6,47,1,3,10,12,4,1,1,1897,27, Wake Forest,31,31,188,24,19,4,45,3,1,5,11,2,1,0,1703,17
10/7/2006, Connecticut,60,26,201,40,20,6,50,0,1,3,14,5,1,0,1641,16, South Florida,205,41,153,16,13,15,113,0,0,13,9,3,0,0,1959,38
10/7/2006, Duke,201,41,74,18,7,10,84,1,2,10,12,2,3,2,1629,14, Alabama,134,34,220,30,18,10,68,0,1,7,12,4,1,1,1971,30
10/7/2006, Florida International,75,35,248,43,29,9,85,2,0,3,18,3,3,0,1413,22, North Texas,108,55,161,32,19,10,93,0,3,6,21,5,4,3,2046,25
10/7/2006, Indiana,149,33,240,41,20,4,35,1,0,7,14,4,1,0,1797,34, Illinois,209,38,217,22,11,2,20,1,0,8,11,1,0,0,1803,32
10/7/2006, Kent State,208,49,207,28,15,11,75,1,1,13,14,5,3,2,2322,28, Temple,50,25,144,26,14,10,64,1,0,3,13,4,1,0,1278,17
10/7/2006, LSU,90,25,228,41,24,5,30,2,3,8,13,7,1,1,1645,10, Florida,97,32,191,28,19,14,102,1,1,5,12,4,3,1,1955,23
10/7/2006, Louisiana Tech,141,35,163,35,17,9,80,1,1,10,15,6,1,0,1846,14, Boise State,265,42,224,23,15,6,62,3,0,11,10,4,2,2,1754,55
