"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Navy",318,269,28,27,0.521534499274174,0.478465500725826,0.597869492216746,0.402130507783254,1.00931274900398,0.512827021478351,0.533048336092518,0.612356655767187,53,0.581629027641113,50
"Nebraska",283,226,153,167,0.44830848516251,0.55169151483749,0.630192143631905,0.369807856368095,1.02003770631759,0.538958893558022,0.537572855557601,0.719824164223865,29,0.611328026673625,39
"Nevada",222,301,130,197,0.271873841027278,0.728126158972722,0.327061452585795,0.672938547414205,0.982557525002033,0.424578146310052,0.418604891931586,0.249432533472139,121,0.351338923107527,111
"New Mexico",367,305,201,198,0.508908999345951,0.491091000654049,0.607917920501479,0.392082079498521,0.982557525002033,0.384073537580042,0.333125747367769,0.0828570440485168,127,0.50731462153092,68
"New Mexico State",213,384,107,201,0.183287931568315,0.816712068431685,0.198330687647568,0.801669312352432,0.975,0.492324904586212,0.510371777418082,0.528041555273499,67,0.294785774631796,126
"North Carolina",335,264,207,180,0.582060036436363,0.417939963563637,0.637490798543115,0.362509201456885,1.00947282299374,0.504422481847455,0.506161666208555,0.577792927186855,57,0.599338572718155,49
"North Carolina State",269,231,132,159,0.391487849085636,0.608512150914364,0.589266993330037,0.410733006669963,1.00947282299374,0.513363845563758,0.514809685396531,0.614564348609183,52,0.569794805643189,53
"North Texas",238,311,141,207,0.287003397871304,0.712996602128696,0.346597829670542,0.653402170329458,0.982247931351517,0.492049601932119,0.523679504866908,0.526909371164506,68,0.398424370918779,103
"Northern Illinois",304,319,202,161,0.631269325778937,0.368730674221063,0.471494129631313,0.528505870368687,0.984925005858917,0.500345488043459,0.553405031987025,0.561026261378416,60,0.491278390383769,76
"Northwestern",253,215,201,171,0.594618157421078,0.405381842578922,0.595252184923854,0.404747815076146,1.02003770631759,0.59016040726235,0.622560692025016,0.930390750890073,5,0.616464909039069,35
"Notre Dame",313,255,71,34,0.851330774258557,0.148669225741443,0.619094581544961,0.380905418455039,1.00931274900398,0.538138886906454,0.545511614860374,0.716451881078851,30,0.600103978531186,47
"Ohio",293,230,146,104,0.690816923529169,0.309183076470831,0.63963058051664,0.36036941948336,0.984925005858917,0.406262529422695,0.362622358703367,0.174109429687984,125,0.539044045098759,63
"Ohio State",465,127,295,90,0.943405408293271,0.0565945917067289,0.955887846482984,0.0441121535170158,1.02003770631759,0.554013131975823,0.540676049652745,0.781734826021892,22,0.833864416798454,3
"Oklahoma",442,308,336,213,0.74654905153547,0.25345094846453,0.701838479139261,0.298161520860739,1.0199203187251,0.552643887152429,0.570736729764072,0.776103797016823,24,0.671248212667867,18
"Oklahoma State",413,293,280,218,0.64409859241773,0.35590140758227,0.692867963758779,0.307132036241221,1.0199203187251,0.481958253156639,0.48063338281978,0.485408628065742,78,0.634515993952668,30
