Visitor,Visitor Score,Home,Home Score
 Virginia,17, Wake Forest,28
 Western Kentucky,7, Troy,17
 Wisconsin,55, Indiana,20
 Wyoming,13, Tennessee,7
 Ball State,31, Miami (Ohio),16
 Central Michigan,33, Northern Illinois,30
 Temple,38, Kent State,41
 Buffalo,43, Akron,40
 Virginia Tech,14, Miami (Florida),16
 Wyoming,14, UNLV,22
 Cincinnati,28, Louisville,20
 UAB,41, Tulane,24
 Arizona,45, Oregon,55
 Boise State,45, Idaho,10
 Boston College,27, Florida State,17
 BYU,38, Air Force,24
 California,21, Oregon State,34
 UCLA,27, Washington,7
 UCF,30, Marshall,14
 Connecticut,39, Syracuse,14
 Duke,7, Clemson,31
 East Carolina,3, Southern Mississippi,21
 Georgia,17, Auburn,13
 Indiana,7, Penn State,34
 Middle Tennessee,21, Western Kentucky,10
 Minnesota,32, Wisconsin,35
 Mississippi State,7, Alabama,32
 Missouri,52, Iowa State,20
 North Carolina,15, Maryland,17
 Nebraska,56, Kansas State,28
 New Mexico State,17, Fresno State,24
 New Mexico,6, Colorado State,20
 Louisiana-Monroe,0, Mississippi,59
 Northwestern,21, Michigan,14
 Notre Dame,27, Navy,21
 Ohio State,30, Illinois,20
 Oklahoma State,30, Colorado,17
 Purdue,17, Iowa,22
 Rutgers,49, South Florida,16
 San Jose State,17, Nevada,41
 South Carolina,6, Florida,56
 USC,45, Stanford,23
 SMU,10, UTEP,36
 Louisiana-Lafayette,29, Florida Atlantic,40
 Texas A&M,21, Baylor,41
 Texas,35, Kansas,7
 Toledo,17, Western Michigan,27
 Troy,31, LSU,40
 Tulsa,30, Houston,70
 Utah State,38, Louisiana Tech,45
 Utah,63, San Diego State,14
 Vanderbilt,31, Kentucky,24
 Wake Forest,17, North Carolina State,21
 Washington State,0, Arizona State,31
 Northern Illinois,42, Kent State,14
 Ball State,31, Central Michigan,24
 Miami (Florida),23, Georgia Tech,41
 Buffalo,40, Bowling Green,34
 Fresno State,24, San Jose State,10
 Miami (Ohio),14, Toledo,42
 Akron,42, Ohio,49
 Arkansas,28, Mississippi State,31
 Boise State,41, Nevada,34
 Boston College,24, Wake Forest,21
 BYU,24, Utah,48
 Cal Poly,35, Wisconsin,36
 UCF,28, Memphis,21
 Citadel,19, Florida,70
 Clemson,13, Virginia,3
 Colorado State,31, Wyoming,20
 Duke,3, Virginia Tech,14
 East Carolina,17, UAB,13
 Eastern Michigan,52, Temple,55
 Florida Atlantic,14, Arkansas State,28
 Florida State,37, Maryland,3
 Idaho,17, Hawai'i,49
 Illinois,10, Northwestern,27
 Indiana,10, Purdue,62
 Iowa State,30, Kansas State,38
 Iowa,55, Minnesota,0
 Louisiana Tech,35, New Mexico State,31
 Marshall,10, Rice,35
 Michigan State,18, Penn State,49
 Michigan,7, Ohio State,42
 Mississippi,31, LSU,13
 UNLV,21, San Diego State,42
 North Carolina State,41, North Carolina,10
 North Texas,13, Middle Tennessee,52
 Louisiana-Monroe,31, Florida International,27
 Oregon State,19, Arizona,17
 Pittsburgh,21, Cincinnati,28
 Louisiana-Lafayette,3, Troy,48
 Stanford,16, California,37
 Syracuse,24, Notre Dame,23
 Tennessee,20, Vanderbilt,10
 Texas Tech,21, Oklahoma,65
 UTEP,37, Houston,42
 Tulane,7, Tulsa,56
 Air Force,10, TCU,44
 Army,3, Rutgers,30
 Washington,13, Washington State,16
 West Virginia,35, Louisville,21
 Connecticut,13, South Florida,17
