"TEAM","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Rice",0,3,0,5,0.982247931351517,0.569863151319552,0.708990231382164,0.745685611871176,17,0.232134729374521,126
"Rutgers",0,2,2,3,1.02003770631759,0.551513701834995,0.628989450911192,0.696037875767771,23,1.57391459402525,79
"San Diego State",0,0,3,1,0.982557525002033,0.383628968254077,0.348737474584967,0.241795531569349,113,2.07933325997195,67
"San Jose State",0,1,1,4,0.982557525002033,0.440715318684147,0.451838135028303,0.396252920802951,90,0.80302400321967,121
"SMU",0,1,2,3,0.995521759117377,0.47359115313231,0.524416947594238,0.485204404292158,61,1.50138517288316,90
"South Alabama",0,2,3,2,0.975,0.437167591321815,0.474133628750305,0.386653906293001,91,2.10409342934385,61
"South Carolina",1,3,2,3,1.025,0.554129260212169,0.55114174072939,0.703114739418763,22,1.55497342808254,80
"South Florida",1,0,4,1,0.995521759117377,0.434533975231999,0.36075417592719,0.379528184252408,93,2.77443756825566,24
"Southern Miss",2,0,4,1,0.982247931351517,0.380901201413627,0.277289917254061,0.234415067737983,114,2.71011696613986,30
"Stanford",2,1,3,1,1.02160816194681,0.617291903147335,0.638294120814041,0.874012630970107,6,2.26057848507571,32
"Syracuse",0,1,2,3,1.00947282299374,0.461911285356671,0.481185893787487,0.453602421162605,74,1.50787845818713,89
"TCU",1,1,3,2,1.0199203187251,0.419022533495873,0.386430585350904,0.337559188585989,104,2.17121677270894,46
"Temple",1,0,3,2,0.995521759117377,0.393876739305524,0.392733095092159,0.269522719419783,110,2.12136829879801,59
"Tennessee",2,0,5,0,1.025,0.620543364920481,0.673611924152131,0.882810045639104,5,3.64681740741864,1
"Texas",0,1,2,2,1.0199203187251,0.487664829078307,0.45627294356876,0.523283266001864,48,1.51501444031023,88
"Texas A&M",3,0,5,0,1.025,0.480152498589045,0.491592979433617,0.502957304617229,56,3.58462760130649,2
"Texas State",0,0,2,2,0.975,0.536634499456786,0.601619190658182,0.65577951740535,28,1.49552623696391,92
"Texas Tech",1,0,3,1,1.0199203187251,0.36549697236795,0.366291445444832,0.192736155289964,119,2.16437000004499,49
"Toledo",0,0,3,1,0.984925005858917,0.294263062769835,0.1500591511505,0,128,2.01911568182653,70
"Troy",2,0,4,1,0.975,0.484509251147122,0.485804233614991,0.514745282313958,52,2.75788637592487,25
"Tulane",0,0,3,2,0.995521759117377,0.427880031075304,0.430309564263953,0.361524741488829,98,2.13383769636178,56
"Tulsa",0,0,3,1,0.995521759117377,0.451519360684949,0.4470151790796,0.425485199763548,86,2.13938129737792,55
"UCF",1,0,3,2,0.995521759117377,0.484421987760407,0.526946740510486,0.514509175525101,53,2.16590583359281,48
"UCLA",1,1,3,2,1.02160816194681,0.581598563432793,0.599319499168247,0.777437880196893,11,2.247306221215,37
"UNLV",1,0,2,3,0.982557525002033,0.403769910043744,0.358086281136768,0.296290472340677,108,1.42735682337969,103
"USC",1,2,2,3,1.02160816194681,0.663855936981453,0.763760438115162,1,1,1.62223218171258,71
"Utah",1,1,4,1,1.02160816194681,0.43174156855866,0.324368953309762,0.371972825726366,97,2.83474775525262,19
"Utah State",0,2,2,3,0.982557525002033,0.472944088624287,0.474751662956558,0.483453654877948,65,1.46556697298444,101
"UTEP",0,2,1,4,0.982247931351517,0.489396872260151,0.537878447747472,0.527969620373655,47,0.830941951773851,117
"UTSA",0,1,1,3,0.982247931351517,0.403338227366241,0.449914574592292,0.295122477209755,109,0.802141174293737,123
"Vanderbilt",0,2,2,3,1.025,0.576928344862872,0.642166159537674,0.76480176382186,14,1.58607343784204,76
"Virginia",1,0,2,3,1.00947282299374,0.490533974223975,0.510319220227704,0.531046254267773,46,1.51768155861539,87
"Virginia Tech",1,0,3,1,1.00947282299374,0.504012339889599,0.507223099360798,0.567514396935228,41,2.18962162398727,43
"Wake Forest",1,1,4,1,1.00947282299374,0.498588084743948,0.504647016330283,0.552838098975691,43,2.86173667738007,17
"Washington",2,0,5,0,1.02160816194681,0.44803564249089,0.394572893753173,0.416059373571715,87,3.53972683606976,5
"Washington State",1,0,2,2,1.02160816194681,0.544399116993775,0.632800197445189,0.676788086776584,24,1.57763549812626,77
"West Virginia",1,0,4,0,1.0199203187251,0.375154297465436,0.330921314741036,0.218865785408202,117,2.83229197420147,20
"Western Kentucky",1,0,3,2,0.982247931351517,0.353212111387054,0.287,0.159497254223214,122,2.05846424813566,68
"Western Michigan",1,0,5,0,0.984925005858917,0.459421459514415,0.397045902524356,0.446865749500394,76,3.41343683215308,9
"Wisconsin",1,0,4,1,1.02003770631759,0.467250782610074,0.493194771334829,0.468049391399226,71,2.88779297128697,13
"Wyoming",1,0,3,2,0.982557525002033,0.46540269833786,0.479597144435463,0.463049066985082,72,2.12219231108225,58
