"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Toledo",0.80981702232902,0.90490851116451,0.782052093517671,16996,14754,0.535307086614173,0.378829114418469,57,56,0.600648427323829,34
"Troy",0.836538507201988,0.918269253600994,0.826878272511414,23036,8714,0.725543307086614,0.550902779618922,25,26,0.70299144617851,24
"Tulane",0.625946922921633,0.812973461460817,0.831340768916554,12697,19053,0.399905511811024,0.270279332427058,78,85,0.480218634738756,69
"Tulsa",0.582818947295262,0.791409473647631,0.855700172369156,13526,18224,0.426015748031496,0.288501793716504,74,80,0.474484098450876,72
"UCF",0.666773281368238,0.833386640684119,0.863546798533781,19551,12199,0.615779527559055,0.443157046109,41,42,0.589119797501955,37
"UCLA",0.568538937571091,0.784269468785545,0.934941455416396,21814,9936,0.687055118110236,0.503780443643881,31,30,0.583385453872484,40
"UNLV",0.531991066976493,0.765995533488247,0.816670739827099,7364,24386,0.231937007874016,0.145091938515797,106,109,0.366953361457406,88
"USC",0.596137827406359,0.79806891370318,0.949614554867387,21998,9752,0.692850393700787,0.525082114064941,28,28,0.608350902974996,31
"Utah",0.710623818981792,0.855311909490896,0.840318572797554,15858,15892,0.499464566929134,0.358982407328657,62,66,0.564588451218196,47
"Utah State",0.459212559412742,0.729606279706371,0.853641951721476,9984,21766,0.314456692913386,0.1958507126145,96,97,0.366154301285867,90
"UTEP",0.111148867575706,0.555574433787853,0.867342161236823,3728,28022,0.117417322834646,0.0565802528857544,127,126,0.103408506959641,128
"UTSA",0.539172319449861,0.76958615972493,0.814186994087339,13661,18089,0.430267716535433,0.269600175805446,79,77,0.436080632223798,77
"Vanderbilt",0.405316759383168,0.702658379691584,0.907744769890495,13671,18079,0.430582677165354,0.274640473329919,77,76,0.388810338041142,82
"Virginia",0.422387145818809,0.711193572909405,0.891922088863148,16811,14939,0.52948031496063,0.335864854856795,65,59,0.427651055258647,80
"Virginia Tech",0.831860207424737,0.915930103712369,0.841362733064154,23653,8097,0.744976377952756,0.574100740394202,24,24,0.714922911081713,20
"Wake Forest",0.61384255066643,0.806921275333215,0.898630491299126,17188,14562,0.541354330708661,0.392549051314779,55,55,0.548196532160009,53
"Washington",0.950970537616042,0.975485268808021,0.793991345914372,27512,4238,0.86651968503937,0.671142772081965,10,5,0.792214813070907,8
"Washington State",0.757870332283946,0.878935166141973,0.871108992410727,25801,5949,0.812629921259843,0.622188739660221,16,12,0.711001748109181,22
"West Virginia",0.776366893001926,0.888183446500963,0.885181726671865,25573,6177,0.805448818897638,0.633246887307382,15,13,0.72663346421809,18
"Western Kentucky",0.522666648899143,0.761333324449572,0.888215588800192,18756,12994,0.590740157480315,0.399475110265653,51,46,0.506407162692222,63
"Western Michigan",0.899420248087332,0.949710124043666,0.852868779775473,25940,5810,0.817007874015748,0.661758497436028,11,11,0.783727590999647,10
"Wisconsin",0.774063660553048,0.887031830276524,0.973327008257161,24168,7582,0.761196850393701,0.657196075732964,14,21,0.756010328082357,14
"Wyoming",0.565694363421277,0.782847181710639,0.865837405876541,14820,16930,0.466771653543307,0.316386402771959,69,69,0.482123444610209,68
