Visitor,Visitor Score,Home Team,Home Score
Colorado,,Arizona,
San Jose State,,Fresno State,
Akron,,Buffalo,
Toledo,,Northern Illinois,
Ball State,,Massachusetts,
Kent State,,Bowling Green,
East Carolina,,Cincinnati,
Southern Miss,,UTSA,
California,,USC,
Tulsa,,UCF,
Army,,Western Kentucky,
Missouri,,Texas A&M,
Ohio State,,Minnesota,
South Florida,,SMU,
Eastern Michigan,,Western Michigan,
Nevada,,Air Force,
Appalachian State,,Arkansas State,
Georgia Southern,,Navy,
Indiana,,Rutgers,
LSU,,Arkansas,
Northwestern,,Notre Dame,
Pittsburgh,,North Carolina,
South Carolina,,Florida,
TCU,,Kansas,
UNLV,,BYU,
Virginia Tech,,Duke,
Wake Forest,,North Carolina State,
Miami (OH),,Central Michigan,
Texas State,,South Alabama,
Troy,,Idaho,
Mississippi State,,Alabama,
Middle Tennessee,,Florida International,
New Mexico,,Utah State,
North Texas,,UTEP,
Rice,,Marshall,
San Diego State,,Boise State,
Auburn,,Georgia,
Clemson,,Georgia Tech,
Florida State,,Miami (FL),
Kentucky,,Tennessee,
Memphis,,Tulane,
Nebraska,,Wisconsin,
Texas,,Oklahoma State,
Iowa,,Illinois,
Michigan State,,Maryland,
Oklahoma,,Texas Tech,
Louisiana-Lafayette,,Louisiana-Monroe,
Temple,,Penn State,
Utah,,Stanford,
Arizona State,,Oregon State,
Washington,,Arizona,
Hawaii,,San Jose State,
Massachusetts,,Akron,
Northern Illinois,,Ohio,
Bowling Green,,Toledo,
Kansas State,,West Virginia,
North Carolina,,Duke,
Arkansas State,,Texas State,
UTEP,,Rice,
Air Force,,San Diego State,
San Jose State,,Utah State,
Fordham,,Army,
Minnesota,,Nebraska,
Missouri,,Tennessee,
SMU,,UCF,
Wisconsin,,Iowa,
Louisiana Tech,,Old Dominion,
New Mexico,,Colorado State,
Appalachian State,,Louisiana-Lafayette,
Savannah State,,BYU,
Charleston Southern,,Georgia,
Eastern Kentucky,,Florida,
Indiana,,Ohio State,
Kansas,,Oklahoma,
Louisville,,Notre Dame,
Ole Miss,,Arkansas,
Northwestern,,Purdue,
Texas Tech,,Iowa State,
Vanderbilt,,Mississippi State,
South Alabama,,South Carolina,
Western Michigan,,Central Michigan,
Western Carolina,,Alabama,
Boise State,,Wyoming,
Cincinnati,,Connecticut,
Florida Atlantic,,Middle Tennessee,
Florida International,,North Texas,
Marshall,,UAB,
Tulane,,East Carolina,
Georgia State,,Clemson,
Miami (FL),,Virginia,
Samford,,Auburn,
South Florida,,Memphis,
Syracuse,,Pittsburgh,
Virginia Tech,,Wake Forest,
Boston College,,Florida State,
Eastern Michigan,,Ball State,
Maryland,,Michigan,
Louisiana-Monroe,,New Mexico State,
Oklahoma State,,Baylor,
Penn State,,Illinois,
Rutgers,,Michigan State,
UTSA,,Western Kentucky,
Stanford,,California,
Tulsa,,Houston,
Colorado,,Oregon,
Oregon State,,Washington,
USC,,UCLA,
Washington State,,Arizona State,
Arizona,,Utah,
Fresno State,,Nevada,
UNLV,,Hawaii,
Akron,,Kent State,
Ohio,,Miami (OH),
LSU,,Texas A&M,
TCU,,Texas,
Western Kentucky,,Marshall,
Virginia,,Virginia Tech,
Toledo,,Eastern Michigan,
Arkansas,,Missouri,
Arizona State,,Arizona,
Colorado State,,Air Force,
Navy,,South Alabama,
Stanford,,UCLA,
UCF,,South Florida,
East Carolina,,Tulsa,
Ball State,,Bowling Green,
Buffalo,,Massachusetts,
Northern Illinois,,Western Michigan,
Houston,,SMU,
Minnesota,,Wisconsin,
Nebraska,,Iowa,
Rice,,Louisiana Tech,
Nevada,,UNLV,
Texas State,,Georgia State,
BYU,,California,
Idaho,,Appalachian State,
Wyoming,,New Mexico,
Connecticut,,Memphis,
Florida,,Florida State,
Georgia Tech,,Georgia,
Kansas,,Kansas State,
Michigan,,Ohio State,
Middle Tennessee,,UTEP,
Notre Dame,,USC,
Purdue,,Indiana,
San Jose State,,San Diego State,
West Virginia,,Iowa State,
Mississippi State,,Ole Miss,
Washington,,Washington State,
Auburn,,Alabama,
Louisiana-Monroe,,Georgia Southern,
Cincinnati,,Temple,
North Texas,,UTSA,
Old Dominion,,Florida Atlantic,
Utah State,,Boise State,
Kentucky,,Louisville,
North Carolina State,,North Carolina,
Pittsburgh,,Miami (FL),
South Carolina,,Clemson,
Louisiana-Lafayette,,Troy,
Wake Forest,,Duke,
Illinois,,Northwestern,
Michigan State,,Penn State,
Rutgers,,Maryland,
